URL,Article Name,Article Date,Summary,Podcast
https://virtualizationreview.com/articles/2026/03/17/ake-5-with-tom-fenton-hard-truths-of-enterprise-ai-adoption.aspx,Take 5 With Tom Fenton: Hard Truths of Enterprise AI Adoption,3/17/2026,"Explores the gap between successful AI pilots and enterprise-scale deployment, emphasizing that early shortcuts like weak governance and direct API use do not scale. Highlights the need for structured 'skills' and governance models to make AI agents reliable and controllable in production environments.",TBA
https://virtualizationreview.com/articles/2026/02/26/why-i-need-to-attend-kubecon-europe-2026-this-year.aspx,Why I Need to Attend KubeCon Europe 2026 this Year,2/26/2026,"Describes the authors motivation for attending KubeCon Europe 2026, focusing on European-specific themes like sovereign cloud and GDPR, along with networking opportunities and strong emphasis on AI and cloud-native technologies.",TBA
https://virtualizationreview.com/articles/2026/02/26/10-questions-from-kubecon-25-takeaways-webinar.aspx,10 Questions from KubeCon '25 Takeaways Webinar,2/26/2026,"Provides a Q&A-style breakdown of Kubernetes trends, highlighting its evolution into a platform for AI workloads, and discussing requirements like GPU scheduling, observability, security, and multi-cluster management.",TBA
https://virtualizationreview.com/articles/2026/02/26/a-conversation-with-solo-io-about-agentic-agents-and-skills-in-enterprise-it.aspx,A Conversation with Solo.io About Agentic Agents and Skills in Enterprise IT,2/26/2026,"Covers a discussion with Solo.io on operationalizing AI agents and skills as production-ready Kubernetes resources, focusing on frameworks like kagent and agentgateway for governance, security, and scalability.",TBA
https://virtualizationreview.com/articles/2026/01/29/the-thin-client-landscape-part-1.aspx,"The Thin-Client Landscape, Part 2",2/3/2026,"Analyzes the evolving thin-client market, noting the commoditization of hardware and the rise of software-defined endpoints, with vendors like IGEL and 10ZiG leading cross-platform operating systems.",TBA
https://virtualizationreview.com/articles/2026/01/29/the-thin-client-landscape-part-1.aspx,"The Thin-Client Landscape, Part 1",1/29/2026,"Analyzes the evolving thin-client market, noting the commoditization of hardware and the rise of software-defined endpoints, with vendors like IGEL and 10ZiG leading cross-platform operating systems.",TBA
https://virtualizationreview.com/articles/2026/01/15/how-to-create-a-free-web-page-using-github-pages.aspx,How to Create a Free Web Page Using GitHub Pages,1/15/2026,"Tom Fenton used AI-assisted vibe coding to create and deploy a free, cloud-hosted static web page.
GitHub Pages provided a no-cost way to host static HTML content without servers, databases, or paid services.
The project combined AI-generated code with local GitHub workflows to iteratively build and publish content.",https://open.spotify.com/episode/44eeCGBM2GWTMaNxXLs9my
https://virtualizationreview.com/articles/2026/01/21/using-vibe-coding-to-create-a-website.aspx,Using Vibe Coding to Create a Website,1/21/2026,"Using GitHub Pages and a simple PowerShell script, the author created a free, static web page to showcase years of published articles.
An AI-assisted vibe coding approach with ChatGPT was used to generate, refine, and debug the PowerShell code without a formal design document.
The final workflow relies on maintaining a CSV file of articles, regenerating HTML with AI-assisted scripts, and committing updates to GitHub.",https://open.spotify.com/episode/44eeCGBM2GWTMaNxXLs9my
https://virtualizationreview.com/articles/2025/04/24/cloud-based-macos-systems.aspx,MacStadium Remote Desktop,4/24/2025," MacStadium was founded in 2012 to supply developers and enterprises with dedicated cloud-based Mac servers and services for developing, testing, and deploying",https://open.spotify.com/episode/7luKxVTVJ6Vlfl67LhyCsi?si=MCXLtdyXRqemHD3PpjSN8Q
https://virtualizationreview.com/articles/2025/12/15/repurposing-an-obsolete-windows-10-laptop-into-a-thin-client-part-2.aspx,Repurposing an 'Obsolete' Windows 10 Laptop into a Thin ...,12/15/2025,"Tom Fenton evaluates how 10ZiG RepurpOS handles real-world VDI, SaaS, and dual-monitor workloads, finding that repurposed Windows 10 hardware can deliver ...",https://open.spotify.com/episode/0GilaTGct8alw2suZznk04
